UGAU5451257: 45.432.058/6423-86<->58.505.242/5161-22
GIKU0319095: 58.614.400/7430-69<->29.028.428/8721-18
IJUU2838081: 41.262.926/7177-60<->25.920.591/4841-31
KRMJ3999605: 78.475.394/1774-57<->63.997.114/6438-66
SOJJ1784906: 71.006.535/4479-94<->33.261.082/7151-03
GVAJ1477104: 26.076.511/8235-60<->07.160.826/2849-50
JTXJ3089979: 38.024.801/6978-81<->22.239.439/6699-90
UGEZ8862407: 46.624.197/1850-80<->16.980.300/9028-52
BQWJ4830059: 41.929.384/4556-12<->73.763.392/2146-75
OPHJ0773304: 43.498.540/2246-59<->26.414.116/7130-92
BVGU6278091: 75.425.679/5664-45<->73.778.710/3438-41
FXLJ6527635: 19.362.378/9367-99<->56.100.918/0612-35
COBJ1822133: 79.729.706/7965-99<->17.349.378/2536-66
LAGU4823668: 42.897.141/7702-65<->30.282.741/2457-68
NRDU8127404: 09.374.058/3754-04<->76.611.343/5336-38
ELRU2191657: 17.251.485/7624-50<->22.210.351/2112-37
QFAJ9758649: 50.053.721/2476-71<->03.270.416/7349-38
WIWZ7406084: 94.499.128/5953-41<->85.036.925/0581-96
PBNJ1488267: 57.020.100/6918-49<->26.223.374/8784-08
GUKJ7098152: 41.513.864/6941-64<->84.802.401/8831-25
TEQU4051129: 27.373.955/1316-70<->45.701.272/6593-80
WIHU1393948: 90.489.513/5784-85<->29.726.376/7223-39
HZUZ6066025: 15.110.937/6538-61<->75.936.890/2875-81
JHBJ0416798: 60.608.807/3428-34<->05.875.720/2716-60
CCFU0538175: 84.683.436/6074-26<->88.654.395/4035-96
OTCJ1911093: 93.119.852/1436-54<->30.787.228/8210-84
CUWZ0578000: 94.603.269/1565-22<->26.385.527/5108-32
EXCU8377444: 24.506.643/4042-44<->56.493.609/6518-72
VXUJ5782298: 56.307.835/7145-39<->45.755.379/5551-70
LLFZ8333354: 36.137.887/9993-46<->81.607.885/2329-74
LDPJ1105697: 66.654.896/3237-47<->25.945.598/4613-96
WLHJ0347343: 39.096.572/2573-89<->10.334.213/3911-72
FCKJ6976966: 76.361.177/8613-70<->43.624.836/8118-97
GMYJ2383022: 90.743.081/0246-81<->43.551.423/8658-42
HJEJ1051147: 40.621.670/1435-53<->59.012.426/7478-46
WOVJ0810780: 72.311.321/3192-64<->45.662.035/5973-99
GIWU4473686: 80.831.921/2986-49<->33.826.287/0871-99
TOYU3004181: 99.259.540/4388-95<->51.064.772/4331-12
QUQZ5573553: 08.300.317/6837-28<->23.812.016/7000-47
QSYZ1013115: 65.821.442/4335-00<->55.251.670/9046-08
ENXU2430877: 37.791.833/5516-75<->69.271.804/0371-55
XVJZ0646787: 22.909.010/1586-65<->02.442.811/8870-71
JTZJ5661870: 66.781.145/4106-50<->04.586.490/5243-03
SONZ2516247: 33.685.695/1037-50<->02.574.251/4657-80
TTVU1592166: 22.344.860/7999-57<->04.627.317/7603-80
VGEJ6292243: 12.626.021/9374-41<->03.616.588/2799-13
MAGZ3838292: 90.124.954/5796-38<->82.602.484/8731-27
QAHU2540581: 86.164.162/3532-51<->95.550.568/3701-47
HRLJ8830958: 84.505.047/2875-78<->98.253.791/9375-78
YEQU3680120: 48.254.228/4489-70<->52.280.009/8687-23
AHUZ7263826: 95.230.517/9314-58<->54.992.063/4295-74
VDRZ3106252: 20.300.815/4134-48<->32.134.346/8004-55
LXJJ7090915: 99.233.109/7389-20<->34.820.611/0178-11
GGIZ1750467: 04.232.895/1581-53<->98.965.703/4584-16
WHSZ9255465: 35.661.336/2982-66<->32.189.515/6537-18
YTAJ3196851: 58.406.211/9269-14<->32.153.021/7324-18
MYQZ8928720: 52.252.688/0547-73<->22.019.077/0400-57
IZKU1162350: 92.790.348/3931-80<->13.662.307/6800-96
BSKZ0695078: 81.116.702/7569-54<->96.341.766/5858-05
IDTZ3148047: 54.035.767/3165-69<->26.927.039/5772-80
TXWJ0603229: 46.308.769/2143-90<->45.594.111/1710-31
XRMJ4156128: 44.322.040/6199-80<->27.390.650/0595-16
VHPU5516059: 52.177.026/6576-77<->50.976.007/5237-89
NXNZ8380313: 58.283.418/9484-66<->32.661.140/3641-82
CPQZ8785625: 69.507.798/2362-26<->95.097.430/7625-55
TUDU9104305: 36.813.288/4395-94<->21.982.499/2240-63
GYTU8360992: 85.074.008/5298-50<->77.165.436/1307-58
PUQU2464243: 23.340.421/2095-00<->01.907.468/2421-14
PSBU9931043: 06.142.738/5791-95<->04.570.832/4159-42
JNCZ8259921: 62.475.089/1109-03<->54.070.719/2821-25
ZLGJ5878588: 31.483.506/4889-30<->52.477.949/1081-25
TJMJ7868335: 17.265.891/6031-01<->06.647.521/3428-18
TFCU9508156: 01.312.438/8162-46<->29.356.533/5051-58
MKLZ2376761: 00.442.599/0756-76<->23.527.839/3243-36
JTKJ1114885: 03.542.350/8488-59<->70.974.707/2526-31
IDXZ0229049: 47.046.799/5921-97<->30.300.121/4168-92
JSZZ7513906: 33.908.019/4933-80<->03.503.485/4477-79
AUIU3629386: 87.078.815/1197-44<->64.035.234/8441-32
WOJJ9873131: 10.946.558/7914-50<->17.528.272/3461-35
TRFU1207958: 50.392.413/7548-67<->33.685.920/5393-77
OGDU9616962: 65.641.299/5681-32<->43.809.662/7593-52
ZUCU6108545: 15.386.569/6063-55<->64.780.621/1657-70
QOAZ7343464: 23.366.012/0191-43<->54.051.820/1800-87
OCEU0978619: 36.167.528/3977-47<->56.681.117/0162-79
RORJ3819732: 55.994.031/8912-27<->53.027.042/2220-57
XPYU3916417: 25.581.834/2576-35<->13.893.038/4448-22
PJFU2545014: 43.030.463/4752-89<->29.271.135/8084-29
GKKZ0357236: 84.006.740/0300-59<->05.804.428/0528-24
QTCJ2895061: 73.538.341/2793-92<->69.066.188/5342-62
XCYU6780827: 12.597.820/3427-95<->48.222.662/5645-94
SQAZ8328795: 50.294.304/1132-28<->81.335.219/5822-58
CZHJ9725211: 35.893.489/1464-76<->57.561.574/8697-63
YLDJ1593197: 54.309.824/3690-03<->18.051.127/2852-86
CWBJ3971519: 21.448.902/4638-84<->30.795.837/3905-70
JKBU9177667: 04.483.921/1726-25<->49.709.527/0411-80
ZPTZ7565878: 17.731.456/8043-37<->80.547.691/6676-07
SSJU8201491: 58.689.522/4397-31<->54.604.588/1146-93
HJKU3968851: 69.792.962/1362-12<->94.912.659/9476-56
PUGJ7654897: 54.918.774/8370-60<->39.429.071/1638-10
NATZ6918577: 45.266.635/3512-90<->93.693.446/8640-87
UBTU1673149: 94.174.998/3374-35<->62.646.243/1379-63
IJTU7477743: 52.676.869/5640-22<->22.669.430/5858-20
CYUU7534297: 96.326.580/1411-26<->00.240.684/7798-42
